city_id,city,province,region,degurba,mean_residents,mean_area_km2,collisions,fatalities,injuries,years_recorded,injury_rate,fatality_rate,per_capita_accidents_rate,collision_density,resident_density,injury_rate_log,fatality_rate_log,per_capita_accidents_rate_log,collision_density_log,injury_rate_pct,fatality_rate_pct,per_capita_accidents_rate_pct,collision_density_pct,severity_subscore,frequency_subscore,risk_score_equal,risk_score_frequency_heavy,risk_score_severity_heavy
73011,Lizzano,TA,Puglia,2,9555.5,47.178,66.0,3.0,95.0,4,1.4393939393939394,0.045454545454545456,17.267542253152634,1.3989571410403154,202.54143880622325,0.8917496229580375,0.04445176257083384,2.9051258377038334,0.8750341183542085,0.6073838824930528,0.8197697499007542,0.2548630408892418,0.2687574434299325,0.7348154029376737,0.26181024215958715,0.4983128225486304,0.4037117903930131,0.5929138547042477
73012,Manduria,TA,Puglia,2,29883.25,180.4419,339.0,10.0,617.0,4,1.8200589970501475,0.029498525073746312,28.360369103092868,1.8787210730988755,165.61147937369313,1.036757805670951,0.0290718148219769,3.379645775298521,1.0573461236780866,0.9730051607780865,0.647479158396189,0.7026597856292179,0.35768161969035334,0.7776895593489479,0.5301707026597856,0.6539301310043668,0.6044263596665342,0.7034339023421992
73013,Martina Franca,TA,Puglia,2,46992.75,298.7193,341.0,2.0,464.0,4,1.3607038123167154,0.005865102639296188,18.14109623292955,1.1415399005019093,157.31407378097097,0.8589598001350466,0.005847969882423126,2.9518376588324196,0.7615251499342273,0.4164350932909885,0.1905518062723303,0.296546248511314,0.20722508932115918,0.2809051210797936,0.2518856689162366,0.2663953949980151,0.26059150456530367,0.27219928543072647
73014,Maruggio,TA,Puglia,3,5234.25,49.0754,40.0,2.0,72.0,4,1.8,0.05,19.104933849166546,0.8150723172913517,106.65730691955643,1.0296194171811583,0.04879016416943201,3.0009652500760575,0.5961253111607129,0.9680428741564113,0.850337435490274,0.33981738785232235,0.13537117903930132,0.897419610956729,0.23759428344581185,0.5675069472012704,0.435541881699087,0.6994720127034538
73015,Massafra,TA,Puglia,2,31985.75,127.9938,228.0,6.0,368.0,4,1.6140350877192982,0.02631578947368421,17.82043566275607,1.781336283476231,249.900776443859,0.9608950381109089,0.025975486403260657,2.934943282813641,1.0229314897235542,0.869988090512108,0.5909090909090909,0.2810639142516872,0.33664152441445017,0.7025406907502978,0.3088527193330687,0.5056967050416832,0.42695911075823745,0.584434299325129
73019,Mottola,TA,Puglia,2,15272.25,213.9608,89.0,22.0,200.0,4,2.247191011235955,0.24719101123595505,14.568907659316736,0.4159640457504365,71.37872918777646,1.1777903183802925,0.2208938315801943,2.7452758266292983,0.3478106035299772,0.9984120682810639,0.999206034140532,0.13934100833664154,0.04088924176260421,0.9988884477967448,0.09011512504962288,0.5445017864231838,0.3627471218737594,0.7262564509726082
73021,Palagiano,TA,Puglia,2,15749.75,69.9867,148.0,3.0,239.0,4,1.614864864864865,0.02027027027027027,23.49243638787917,2.1146875049116476,225.03918601677177,0.9612124192656668,0.020067563050809267,3.1983643510251287,1.1361288277565693,0.8713775307661771,0.4785629217943628,0.5303691941246527,0.3961889638745534,0.6356887653830885,0.463279078999603,0.5494839221913458,0.5150019849146487,0.5839658594680428
73022,Pulsano,TA,Puglia,2,11190.0,18.3995,70.0,3.0,105.0,4,1.5,0.04285714285714286,15.638963360142986,3.8044512079132584,608.1687002364195,0.9162907318741551,0.04196419909903214,2.811747135384127,1.5695428231863255,0.7254863040889242,0.7989281460897182,0.18102421595871376,0.5879317189360858,0.7695514092894006,0.38447796744739976,0.5770146883684002,0.49999999999999994,0.6540293767368003
73024,San Giorgio Ionico,TA,Puglia,2,14155.25,23.5597,81.0,2.0,115.0,4,1.4197530864197532,0.024691358024691357,14.305646314971476,3.4380743388073705,600.8247133876918,0.8836655045580785,0.024391453124159156,2.72822180051402,1.490220574890026,0.5603414053195712,0.5573640333465661,0.129813418023025,0.55577610162763,0.5585549821357683,0.34279475982532753,0.4506748709805479,0.4075228265184597,0.493826915442636
73025,San Marzano di San Giuseppe,TA,Puglia,2,8887.75,19.1944,60.0,1.0,105.0,4,1.75,0.016666666666666666,16.87716238643076,3.125911724252907,463.0386987871462,1.0116009116784799,0.016529301951210565,2.8835240539309233,1.4172870194257357,0.9547439460103215,0.38963874553394207,0.2389837236998809,0.5216355696705042,0.6156808257244939,0.3803096466851925,0.4979952362048432,0.4509210003969829,0.5450694720127035
73026,Sava,TA,Puglia,2,15307.5,44.5686,231.0,4.0,425.0,4,1.8398268398268398,0.017316017316017316,37.7266046055855,5.183021230193454,343.45929645535193,1.0437430784222954,0.017167803622365422,3.6565268213537334,1.8218070242101054,0.9761810242159588,0.4053195712584359,0.869789599047241,0.6796347757046447,0.633664152441445,0.7747121873759428,0.7041881699086939,0.7323977768955935,0.6759785629217944
73027,Taranto,TA,Puglia,1,187701.75,249.8536,2820.0,44.0,4189.0,4,1.4854609929078013,0.015602836879432624,37.559585885587104,11.286609438487178,751.2469302023264,0.9104581525681654,0.015482364148376962,3.652204730203014,2.508510005816153,0.6955140928940056,0.3664152441445018,0.8674077014688368,0.8598650258038905,0.4980547836443033,0.8636363636363636,0.6808455736403335,0.7539618896387454,0.6077292576419213
73028,Torricella,TA,Puglia,3,4125.75,26.9321,37.0,1.0,62.0,4,1.6756756756756757,0.02702702702702703,22.42016603041871,1.3738252865539635,153.19080205405447,0.9842019374903654,0.026668247082161325,3.1535974474022868,0.864502698935863,0.9196109567288606,0.6040095275903136,0.4827312425565701,0.2631996824136562,0.7302500992457324,0.37296546248511314,0.5516077808654227,0.4801508535132989,0.6230647082175466
73029,Statte,TA,Puglia,2,12880.75,67.3201,84.0,4.0,135.0,4,1.6071428571428572,0.047619047619047616,16.303398482231238,1.247769982516366,191.33587145592477,0.9582549309731873,0.04652001563489285,2.850902926270735,0.8099386058516226,0.8632393807066296,0.8360460500198491,0.21437078205637158,0.23302897975387057,0.8469233822945613,0.22369988090512108,0.5353116315998412,0.41066693132195314,0.6599563318777293
74001,Brindisi,BR,Puglia,1,82555.25,333.3038,1309.0,24.0,1872.0,4,1.4300993124522536,0.01833460656990069,39.64011979855915,3.9273479630295243,247.6876951297885,0.8879321258392442,0.018168554268808743,3.7047557510650733,1.5948009047801905,0.5843588725684795,0.4331083763398174,0.8860658991663358,0.5970623263199683,0.49360857483128223,0.741564112743152,0.6175863437872171,0.6671774513695912,0.5679952362048432
74002,Carovigno,BR,Puglia,2,16968.0,106.6405,226.0,7.0,355.0,4,1.5707964601769913,0.030973451327433628,33.2979726544083,2.1192698833932697,159.11403266113717,0.9442157575796254,0.030503454293414688,3.5350862461395764,1.1375989627034466,0.8225486304088924,0.6691147280666931,0.8038904327113934,0.39658594680428744,0.7304882890035729,0.6002381897578404,0.6653632393807066,0.6393132195315601,0.6914132592298532
74003,Ceglie Messapica,BR,Puglia,2,18679.75,132.0198,182.0,3.0,255.0,4,1.401098901098901,0.016483516483516484,24.357927702458547,1.3785810916241352,141.49203377069196,0.8759265080187948,0.01634913800152947,3.2330914110274174,0.8665041299075689,0.5121079793568877,0.3868598650258039,0.5609368797141723,0.26518459706232633,0.4369591107582374,0.4130607383882493,0.4250099245732434,0.42023025009924575,0.42978959904724096
